sample,response,sample_type,population,count,total_count,percentage
sample00807,no,PBMC,cd4_t_cell,28845,96519,29.89
sample00807,no,PBMC,cd8_t_cell,22133,96519,22.93
sample00807,no,PBMC,monocyte,15462,96519,16.02
sample00807,no,PBMC,nk_cell,19026,96519,19.71
sample00808,no,PBMC,b_cell,14322,89890,15.93
sample00808,no,PBMC,cd4_t_cell,23195,89890,25.8
sample00808,no,PBMC,cd8_t_cell,19256,89890,21.42
sample00808,no,PBMC,monocyte,19700,89890,21.92
sample00808,no,PBMC,nk_cell,13417,89890,14.93
sample00809,no,PBMC,b_cell,17200,110157,15.61
sample00809,no,PBMC,cd4_t_cell,29353,110157,26.65
sample00809,no,PBMC,cd8_t_cell,27662,110157,25.11
sample00809,no,PBMC,monocyte,16592,110157,15.06
sample00809,no,PBMC,nk_cell,19350,110157,17.57
sample00825,yes,PBMC,b_cell,9193,94793,9.7
sample00825,yes,PBMC,cd4_t_cell,28430,94793,29.99
sample00825,yes,PBMC,cd8_t_cell,26668,94793,28.13
sample00825,yes,PBMC,monocyte,15856,94793,16.73
sample00825,yes,PBMC,nk_cell,14646,94793,15.45
sample00826,yes,PBMC,b_cell,16248,102757,15.81
sample00826,yes,PBMC,cd4_t_cell,31681,102757,30.83
sample00826,yes,PBMC,cd8_t_cell,22635,102757,22.03
sample00826,yes,PBMC,monocyte,15920,102757,15.49
sample00826,yes,PBMC,nk_cell,16273,102757,15.84
sample00827,yes,PBMC,b_cell,8126,98597,8.24
sample00827,yes,PBMC,cd4_t_cell,32233,98597,32.69
sample00827,yes,PBMC,cd8_t_cell,24820,98597,25.17
sample00827,yes,PBMC,monocyte,19729,98597,20.01
sample00827,yes,PBMC,nk_cell,13689,98597,13.88
sample00840,yes,PBMC,b_cell,6774,114168,5.93
sample00840,yes,PBMC,cd4_t_cell,43149,114168,37.79
sample00840,yes,PBMC,cd8_t_cell,23100,114168,20.23
sample00840,yes,PBMC,monocyte,18948,114168,16.6
sample00840,yes,PBMC,nk_cell,22197,114168,19.44
sample00841,yes,PBMC,b_cell,13000,108096,12.03
sample00841,yes,PBMC,cd4_t_cell,44053,108096,40.75
sample00841,yes,PBMC,cd8_t_cell,17515,108096,16.2
sample00841,yes,PBMC,monocyte,12165,108096,11.25
sample00841,yes,PBMC,nk_cell,21363,108096,19.76
sample00842,yes,PBMC,b_cell,5751,104754,5.49
sample00842,yes,PBMC,cd4_t_cell,37544,104754,35.84
sample00842,yes,PBMC,cd8_t_cell,23428,104754,22.36
sample00842,yes,PBMC,monocyte,25030,104754,23.89
sample00842,yes,PBMC,nk_cell,13001,104754,12.41
sample00849,no,PBMC,b_cell,11850,90828,13.05
sample00849,no,PBMC,cd4_t_cell,28646,90828,31.54
sample00849,no,PBMC,cd8_t_cell,16827,90828,18.53
sample00849,no,PBMC,monocyte,21432,90828,23.6
sample00849,no,PBMC,nk_cell,12073,90828,13.29
sample00850,no,PBMC,b_cell,6904,101331,6.81
sample00850,no,PBMC,cd4_t_cell,39604,101331,39.08
sample00850,no,PBMC,cd8_t_cell,17980,101331,17.74
sample00850,no,PBMC,monocyte,18331,101331,18.09
sample00850,no,PBMC,nk_cell,18512,101331,18.27
sample00851,no,PBMC,b_cell,13998,107901,12.97
sample00851,no,PBMC,cd4_t_cell,33163,107901,30.73
sample00851,no,PBMC,cd8_t_cell,24763,107901,22.95
sample00851,no,PBMC,monocyte,20754,107901,19.23
sample00851,no,PBMC,nk_cell,15223,107901,14.11
sample00861,yes,PBMC,b_cell,7378,97470,7.57
sample00861,yes,PBMC,cd4_t_cell,23672,97470,24.29
sample00861,yes,PBMC,cd8_t_cell,34971,97470,35.88
sample00861,yes,PBMC,monocyte,16679,97470,17.11
sample00861,yes,PBMC,nk_cell,14770,97470,15.15
sample00862,yes,PBMC,b_cell,6039,102166,5.91
sample00862,yes,PBMC,cd4_t_cell,32804,102166,32.11
sample00862,yes,PBMC,cd8_t_cell,21828,102166,21.37
sample00862,yes,PBMC,monocyte,21751,102166,21.29
sample00862,yes,PBMC,nk_cell,19744,102166,19.33
sample00863,yes,PBMC,b_cell,2413,101651,2.37
sample00863,yes,PBMC,cd4_t_cell,25833,101651,25.41
sample00863,yes,PBMC,cd8_t_cell,30627,101651,30.13
sample00863,yes,PBMC,monocyte,23216,101651,22.84
sample00863,yes,PBMC,nk_cell,19562,101651,19.24
sample00867,no,PBMC,b_cell,6689,96336,6.94
sample00867,no,PBMC,cd4_t_cell,29742,96336,30.87
sample00867,no,PBMC,cd8_t_cell,19089,96336,19.82
sample00867,no,PBMC,monocyte,20298,96336,21.07
sample00867,no,PBMC,nk_cell,20518,96336,21.3
sample00868,no,PBMC,b_cell,10173,94267,10.79
sample00868,no,PBMC,cd4_t_cell,24448,94267,25.93
sample00868,no,PBMC,cd8_t_cell,21411,94267,22.71
sample00868,no,PBMC,monocyte,19165,94267,20.33
sample00868,no,PBMC,nk_cell,19070,94267,20.23
sample00869,no,PBMC,b_cell,10357,101421,10.21
sample00869,no,PBMC,cd4_t_cell,33830,101421,33.36
sample00869,no,PBMC,cd8_t_cell,25080,101421,24.73
sample00869,no,PBMC,monocyte,17396,101421,17.15
sample00869,no,PBMC,nk_cell,14758,101421,14.55
sample00873,yes,PBMC,b_cell,6632,103428,6.41
sample00873,yes,PBMC,cd4_t_cell,23954,103428,23.16
sample00873,yes,PBMC,cd8_t_cell,31342,103428,30.3
sample00873,yes,PBMC,monocyte,24446,103428,23.64
sample00873,yes,PBMC,nk_cell,17054,103428,16.49
sample00874,yes,PBMC,b_cell,19533,101456,19.25
sample00874,yes,PBMC,cd4_t_cell,22128,101456,21.81
sample00874,yes,PBMC,cd8_t_cell,32298,101456,31.83
sample00874,yes,PBMC,monocyte,16660,101456,16.42
sample00874,yes,PBMC,nk_cell,10837,101456,10.68
sample00875,yes,PBMC,b_cell,12312,106472,11.56
sample00875,yes,PBMC,cd4_t_cell,38461,106472,36.12
sample00875,yes,PBMC,cd8_t_cell,28657,106472,26.92
sample00875,yes,PBMC,monocyte,14153,106472,13.29
sample00875,yes,PBMC,nk_cell,12889,106472,12.11
sample00876,yes,PBMC,b_cell,10231,92437,11.07
sample00876,yes,PBMC,cd4_t_cell,22070,92437,23.88
sample00876,yes,PBMC,cd8_t_cell,30240,92437,32.71
sample00876,yes,PBMC,monocyte,18999,92437,20.55
sample00876,yes,PBMC,nk_cell,10897,92437,11.79
sample00877,yes,PBMC,b_cell,8923,110270,8.09
sample00877,yes,PBMC,cd4_t_cell,31351,110270,28.43
sample00877,yes,PBMC,cd8_t_cell,23275,110270,21.11
sample00877,yes,PBMC,monocyte,26794,110270,24.3
sample00877,yes,PBMC,nk_cell,19927,110270,18.07
sample00878,yes,PBMC,b_cell,6631,93168,7.12
sample00878,yes,PBMC,cd4_t_cell,29680,93168,31.86
sample00878,yes,PBMC,cd8_t_cell,30090,93168,32.3
sample00878,yes,PBMC,monocyte,14581,93168,15.65
sample00878,yes,PBMC,nk_cell,12186,93168,13.08
sample00888,yes,PBMC,b_cell,7021,99206,7.08
sample00888,yes,PBMC,cd4_t_cell,37758,99206,38.06
sample00888,yes,PBMC,cd8_t_cell,16828,99206,16.96
sample00888,yes,PBMC,monocyte,22236,99206,22.41
sample00888,yes,PBMC,nk_cell,15363,99206,15.49
sample00889,yes,PBMC,b_cell,7478,97987,7.63
sample00889,yes,PBMC,cd4_t_cell,34983,97987,35.7
sample00889,yes,PBMC,cd8_t_cell,23497,97987,23.98
sample00889,yes,PBMC,monocyte,22445,97987,22.91
sample00889,yes,PBMC,nk_cell,9584,97987,9.78
sample00890,yes,PBMC,b_cell,12647,100665,12.56
sample00890,yes,PBMC,cd4_t_cell,28813,100665,28.62
sample00890,yes,PBMC,cd8_t_cell,20418,100665,20.28
sample00890,yes,PBMC,monocyte,22621,100665,22.47
sample00890,yes,PBMC,nk_cell,16166,100665,16.06
sample00894,yes,PBMC,b_cell,12289,97282,12.63
sample00894,yes,PBMC,cd4_t_cell,27334,97282,28.1
sample00894,yes,PBMC,cd8_t_cell,19880,97282,20.44
sample00894,yes,PBMC,monocyte,22292,97282,22.91
sample00894,yes,PBMC,nk_cell,15487,97282,15.92
sample00895,yes,PBMC,b_cell,12039,103080,11.68
sample00895,yes,PBMC,cd4_t_cell,26715,103080,25.92
sample00895,yes,PBMC,cd8_t_cell,23358,103080,22.66
sample00895,yes,PBMC,monocyte,23179,103080,22.49
sample00895,yes,PBMC,nk_cell,17789,103080,17.26
sample00896,yes,PBMC,b_cell,11286,102348,11.03
sample00896,yes,PBMC,cd4_t_cell,36200,102348,35.37
sample00896,yes,PBMC,cd8_t_cell,25894,102348,25.3
sample00896,yes,PBMC,monocyte,18030,102348,17.62
sample00896,yes,PBMC,nk_cell,10938,102348,10.69
sample00912,yes,PBMC,b_cell,9095,103332,8.8
sample00912,yes,PBMC,cd4_t_cell,21479,103332,20.79
sample00912,yes,PBMC,cd8_t_cell,22887,103332,22.15
sample00912,yes,PBMC,monocyte,33485,103332,32.41
sample00912,yes,PBMC,nk_cell,16386,103332,15.86
sample00913,yes,PBMC,b_cell,6186,93715,6.6
sample00913,yes,PBMC,cd4_t_cell,36630,93715,39.09
sample00913,yes,PBMC,cd8_t_cell,18986,93715,20.26
sample00913,yes,PBMC,monocyte,21725,93715,23.18
sample00913,yes,PBMC,nk_cell,10188,93715,10.87
sample00914,yes,PBMC,b_cell,9435,95778,9.85
sample00914,yes,PBMC,cd4_t_cell,32346,95778,33.77
sample00914,yes,PBMC,cd8_t_cell,18174,95778,18.98
sample00914,yes,PBMC,monocyte,14518,95778,15.16
sample00914,yes,PBMC,nk_cell,21305,95778,22.24
sample00915,yes,PBMC,b_cell,8425,107102,7.87
sample00915,yes,PBMC,cd4_t_cell,20815,107102,19.43
sample00915,yes,PBMC,cd8_t_cell,32056,107102,29.93
sample00915,yes,PBMC,monocyte,24693,107102,23.06
sample00915,yes,PBMC,nk_cell,21113,107102,19.71
sample00916,yes,PBMC,b_cell,6202,104310,5.95
sample00916,yes,PBMC,cd4_t_cell,27914,104310,26.76
sample00916,yes,PBMC,cd8_t_cell,23321,104310,22.36
sample00916,yes,PBMC,monocyte,27428,104310,26.29
sample00916,yes,PBMC,nk_cell,19445,104310,18.64
sample00917,yes,PBMC,b_cell,7142,105075,6.8
sample00917,yes,PBMC,cd4_t_cell,32179,105075,30.62
sample00917,yes,PBMC,cd8_t_cell,28147,105075,26.79
sample00917,yes,PBMC,monocyte,24828,105075,23.63
sample00917,yes,PBMC,nk_cell,12779,105075,12.16
sample00918,no,PBMC,b_cell,7340,104179,7.05
sample00918,no,PBMC,cd4_t_cell,30723,104179,29.49
sample00918,no,PBMC,cd8_t_cell,32285,104179,30.99
sample00918,no,PBMC,monocyte,19689,104179,18.9
sample00918,no,PBMC,nk_cell,14142,104179,13.57
sample00919,no,PBMC,b_cell,11050,91829,12.03
sample00919,no,PBMC,cd4_t_cell,32089,91829,34.94
sample00919,no,PBMC,cd8_t_cell,17741,91829,19.32
sample00919,no,PBMC,monocyte,14181,91829,15.44
sample00919,no,PBMC,nk_cell,16768,91829,18.26
sample00920,no,PBMC,b_cell,8568,92268,9.29
sample00920,no,PBMC,cd4_t_cell,28675,92268,31.08
sample00920,no,PBMC,cd8_t_cell,20349,92268,22.05
sample00920,no,PBMC,monocyte,24599,92268,26.66
sample00920,no,PBMC,nk_cell,10077,92268,10.92
sample00939,yes,PBMC,b_cell,8343,100572,8.3
sample00939,yes,PBMC,cd4_t_cell,26245,100572,26.1
sample00939,yes,PBMC,cd8_t_cell,29622,100572,29.45
sample00939,yes,PBMC,monocyte,19335,100572,19.23
sample00939,yes,PBMC,nk_cell,17027,100572,16.93
sample00940,yes,PBMC,b_cell,18500,101349,18.25
sample00940,yes,PBMC,cd4_t_cell,33087,101349,32.65
sample00940,yes,PBMC,cd8_t_cell,21905,101349,21.61
sample00940,yes,PBMC,monocyte,15812,101349,15.6
sample00940,yes,PBMC,nk_cell,12045,101349,11.88
sample00941,yes,PBMC,b_cell,9518,100542,9.47
sample00941,yes,PBMC,cd4_t_cell,25676,100542,25.54
sample00941,yes,PBMC,cd8_t_cell,20099,100542,19.99
sample00941,yes,PBMC,monocyte,25962,100542,25.82
sample00941,yes,PBMC,nk_cell,19287,100542,19.18
sample00966,no,PBMC,b_cell,9286,91242,10.18
sample00966,no,PBMC,cd4_t_cell,25643,91242,28.1
sample00966,no,PBMC,cd8_t_cell,16928,91242,18.55
sample00966,no,PBMC,monocyte,25282,91242,27.71
sample00966,no,PBMC,nk_cell,14103,91242,15.46
sample00967,no,PBMC,b_cell,8236,94282,8.74
sample00967,no,PBMC,cd4_t_cell,30793,94282,32.66
sample00967,no,PBMC,cd8_t_cell,31116,94282,33.0
sample00967,no,PBMC,monocyte,10994,94282,11.66
sample00967,no,PBMC,nk_cell,13143,94282,13.94
sample00968,no,PBMC,b_cell,13506,100283,13.47
sample00968,no,PBMC,cd4_t_cell,28017,100283,27.94
sample00968,no,PBMC,cd8_t_cell,23768,100283,23.7
sample00968,no,PBMC,monocyte,17937,100283,17.89
sample00968,no,PBMC,nk_cell,17055,100283,17.01
sample00987,no,PBMC,b_cell,9222,90006,10.25
sample00987,no,PBMC,cd4_t_cell,19570,90006,21.74
sample00987,no,PBMC,cd8_t_cell,32097,90006,35.66
sample00987,no,PBMC,monocyte,20027,90006,22.25
sample00987,no,PBMC,nk_cell,9090,90006,10.1
sample00988,no,PBMC,b_cell,6696,104779,6.39
sample00988,no,PBMC,cd4_t_cell,32166,104779,30.7
sample00988,no,PBMC,cd8_t_cell,21697,104779,20.71
sample00988,no,PBMC,monocyte,21964,104779,20.96
sample00988,no,PBMC,nk_cell,22256,104779,21.24
sample00989,no,PBMC,b_cell,11739,108673,10.8
sample00989,no,PBMC,cd4_t_cell,28751,108673,26.46
sample00989,no,PBMC,cd8_t_cell,33143,108673,30.5
sample00989,no,PBMC,monocyte,19327,108673,17.78
sample00989,no,PBMC,nk_cell,15713,108673,14.46
sample01008,yes,PBMC,b_cell,4730,94275,5.02
sample01008,yes,PBMC,cd4_t_cell,24865,94275,26.37
sample01008,yes,PBMC,cd8_t_cell,22797,94275,24.18
sample01008,yes,PBMC,monocyte,11671,94275,12.38
sample01008,yes,PBMC,nk_cell,30212,94275,32.05
sample01009,yes,PBMC,b_cell,11259,92039,12.23
sample01009,yes,PBMC,cd4_t_cell,26646,92039,28.95
sample01009,yes,PBMC,cd8_t_cell,24788,92039,26.93
sample01009,yes,PBMC,monocyte,19247,92039,20.91
sample01009,yes,PBMC,nk_cell,10099,92039,10.97
sample01010,yes,PBMC,b_cell,8314,101492,8.19
sample01010,yes,PBMC,cd4_t_cell,29090,101492,28.66
sample01010,yes,PBMC,cd8_t_cell,27021,101492,26.62
sample01010,yes,PBMC,monocyte,18947,101492,18.67
sample01010,yes,PBMC,nk_cell,18120,101492,17.85
sample01011,no,PBMC,b_cell,7830,94131,8.32
sample01011,no,PBMC,cd4_t_cell,22411,94131,23.81
sample01011,no,PBMC,cd8_t_cell,31360,94131,33.32
sample01011,no,PBMC,monocyte,16081,94131,17.08
sample01011,no,PBMC,nk_cell,16449,94131,17.47
sample01012,no,PBMC,b_cell,11774,104388,11.28
sample01012,no,PBMC,cd4_t_cell,37192,104388,35.63
sample01012,no,PBMC,cd8_t_cell,24839,104388,23.79
sample01012,no,PBMC,monocyte,13864,104388,13.28
sample01012,no,PBMC,nk_cell,16719,104388,16.02
sample01013,no,PBMC,b_cell,7164,102053,7.02
sample01013,no,PBMC,cd4_t_cell,33480,102053,32.81
sample01013,no,PBMC,cd8_t_cell,22495,102053,22.04
sample01013,no,PBMC,monocyte,21276,102053,20.85
sample01013,no,PBMC,nk_cell,17638,102053,17.28
sample01017,yes,PBMC,b_cell,8262,98665,8.37
sample01017,yes,PBMC,cd4_t_cell,34956,98665,35.43
sample01017,yes,PBMC,cd8_t_cell,20672,98665,20.95
sample01017,yes,PBMC,monocyte,20740,98665,21.02
sample01017,yes,PBMC,nk_cell,14035,98665,14.22
sample01018,yes,PBMC,b_cell,12521,111048,11.28
sample01018,yes,PBMC,cd4_t_cell,40415,111048,36.39
sample01018,yes,PBMC,cd8_t_cell,25979,111048,23.39
sample01018,yes,PBMC,monocyte,22637,111048,20.38
sample01018,yes,PBMC,nk_cell,9496,111048,8.55
sample01019,yes,PBMC,b_cell,4611,99306,4.64
sample01019,yes,PBMC,cd4_t_cell,45098,99306,45.41
sample01019,yes,PBMC,cd8_t_cell,27684,99306,27.88
sample01019,yes,PBMC,monocyte,11559,99306,11.64
sample01019,yes,PBMC,nk_cell,10354,99306,10.43
sample01023,no,PBMC,b_cell,8931,91957,9.71
sample01023,no,PBMC,cd4_t_cell,22706,91957,24.69
sample01023,no,PBMC,cd8_t_cell,25363,91957,27.58
sample01023,no,PBMC,monocyte,19542,91957,21.25
sample01023,no,PBMC,nk_cell,15415,91957,16.76
sample01024,no,PBMC,b_cell,8483,100987,8.4
sample01024,no,PBMC,cd4_t_cell,40018,100987,39.63
sample01024,no,PBMC,cd8_t_cell,20753,100987,20.55
sample01024,no,PBMC,monocyte,21085,100987,20.88
sample01024,no,PBMC,nk_cell,10648,100987,10.54
sample01025,no,PBMC,b_cell,7414,90423,8.2
sample01025,no,PBMC,cd4_t_cell,23381,90423,25.86
sample01025,no,PBMC,cd8_t_cell,29985,90423,33.16
sample01025,no,PBMC,monocyte,17135,90423,18.95
sample01025,no,PBMC,nk_cell,12508,90423,13.83
sample01041,no,PBMC,b_cell,11647,93808,12.42
sample01041,no,PBMC,cd4_t_cell,24110,93808,25.7
sample01041,no,PBMC,cd8_t_cell,25584,93808,27.27
sample01041,no,PBMC,monocyte,14367,93808,15.32
sample01041,no,PBMC,nk_cell,18100,93808,19.29
sample01042,no,PBMC,b_cell,11550,97518,11.84
sample01042,no,PBMC,cd4_t_cell,26463,97518,27.14
sample01042,no,PBMC,cd8_t_cell,30302,97518,31.07
sample01042,no,PBMC,monocyte,15797,97518,16.2
sample01042,no,PBMC,nk_cell,13406,97518,13.75
sample01043,no,PBMC,b_cell,9175,91328,10.05
sample01043,no,PBMC,cd4_t_cell,28781,91328,31.51
sample01043,no,PBMC,cd8_t_cell,16094,91328,17.62
sample01043,no,PBMC,monocyte,19484,91328,21.33
sample01043,no,PBMC,nk_cell,17794,91328,19.48
sample01053,no,PBMC,b_cell,7075,103410,6.84
sample01053,no,PBMC,cd4_t_cell,29470,103410,28.5
sample01053,no,PBMC,cd8_t_cell,23805,103410,23.02
sample01053,no,PBMC,monocyte,19819,103410,19.17
sample01053,no,PBMC,nk_cell,23241,103410,22.47
sample01054,no,PBMC,b_cell,12511,88554,14.13
sample01054,no,PBMC,cd4_t_cell,25416,88554,28.7
sample01054,no,PBMC,cd8_t_cell,20246,88554,22.86
sample01054,no,PBMC,monocyte,16917,88554,19.1
sample01054,no,PBMC,nk_cell,13464,88554,15.2
sample01055,no,PBMC,b_cell,7943,93852,8.46
sample01055,no,PBMC,cd4_t_cell,24505,93852,26.11
sample01055,no,PBMC,cd8_t_cell,31528,93852,33.59
sample01055,no,PBMC,monocyte,17418,93852,18.56
sample01055,no,PBMC,nk_cell,12458,93852,13.27
sample01062,no,PBMC,b_cell,5028,95146,5.28
sample01062,no,PBMC,cd4_t_cell,30432,95146,31.98
sample01062,no,PBMC,cd8_t_cell,20750,95146,21.81
sample01062,no,PBMC,monocyte,23899,95146,25.12
sample01062,no,PBMC,nk_cell,15037,95146,15.8
sample01063,no,PBMC,b_cell,7633,97268,7.85
sample01063,no,PBMC,cd4_t_cell,24038,97268,24.71
sample01063,no,PBMC,cd8_t_cell,25571,97268,26.29
sample01063,no,PBMC,monocyte,14902,97268,15.32
sample01063,no,PBMC,nk_cell,25124,97268,25.83
sample01064,no,PBMC,b_cell,14204,96127,14.78
sample01064,no,PBMC,cd4_t_cell,23781,96127,24.74
sample01064,no,PBMC,cd8_t_cell,21526,96127,22.39
sample01064,no,PBMC,monocyte,29318,96127,30.5
sample01064,no,PBMC,nk_cell,7298,96127,7.59
sample01068,yes,PBMC,b_cell,11050,96734,11.42
sample01068,yes,PBMC,cd4_t_cell,29019,96734,30.0
sample01068,yes,PBMC,cd8_t_cell,30504,96734,31.53
sample01068,yes,PBMC,monocyte,10020,96734,10.36
sample01068,yes,PBMC,nk_cell,16141,96734,16.69
sample01069,yes,PBMC,b_cell,9668,108278,8.93
sample01069,yes,PBMC,cd4_t_cell,37024,108278,34.19
sample01069,yes,PBMC,cd8_t_cell,30953,108278,28.59
sample01069,yes,PBMC,monocyte,19174,108278,17.71
sample01069,yes,PBMC,nk_cell,11459,108278,10.58
sample01070,yes,PBMC,b_cell,10381,108844,9.54
sample01070,yes,PBMC,cd4_t_cell,31042,108844,28.52
sample01070,yes,PBMC,cd8_t_cell,33882,108844,31.13
sample01070,yes,PBMC,monocyte,22463,108844,20.64
sample01070,yes,PBMC,nk_cell,11076,108844,10.18
sample01074,yes,PBMC,b_cell,8326,96578,8.62
sample01074,yes,PBMC,cd4_t_cell,29138,96578,30.17
sample01074,yes,PBMC,cd8_t_cell,26096,96578,27.02
sample01074,yes,PBMC,monocyte,15270,96578,15.81
sample01074,yes,PBMC,nk_cell,17748,96578,18.38
sample01075,yes,PBMC,b_cell,9203,105517,8.72
sample01075,yes,PBMC,cd4_t_cell,37024,105517,35.09
sample01075,yes,PBMC,cd8_t_cell,21995,105517,20.84
sample01075,yes,PBMC,monocyte,21250,105517,20.14
sample01075,yes,PBMC,nk_cell,16045,105517,15.21
sample01076,yes,PBMC,b_cell,10581,106152,9.97
sample01076,yes,PBMC,cd4_t_cell,38269,106152,36.05
sample01076,yes,PBMC,cd8_t_cell,23686,106152,22.31
sample01076,yes,PBMC,monocyte,17228,106152,16.23
sample01076,yes,PBMC,nk_cell,16388,106152,15.44
sample01080,yes,PBMC,b_cell,17168,110681,15.51
sample01080,yes,PBMC,cd4_t_cell,30756,110681,27.79
sample01080,yes,PBMC,cd8_t_cell,26698,110681,24.12
sample01080,yes,PBMC,monocyte,25827,110681,23.33
sample01080,yes,PBMC,nk_cell,10232,110681,9.24
sample01081,yes,PBMC,b_cell,10268,102676,10.0
sample01081,yes,PBMC,cd4_t_cell,31910,102676,31.08
sample01081,yes,PBMC,cd8_t_cell,30277,102676,29.49
sample01081,yes,PBMC,monocyte,18469,102676,17.99
sample01081,yes,PBMC,nk_cell,11752,102676,11.45
sample01082,yes,PBMC,b_cell,9436,104619,9.02
sample01082,yes,PBMC,cd4_t_cell,35654,104619,34.08
sample01082,yes,PBMC,cd8_t_cell,18069,104619,17.27
sample01082,yes,PBMC,monocyte,20129,104619,19.24
sample01082,yes,PBMC,nk_cell,21331,104619,20.39
sample01092,yes,PBMC,b_cell,9863,106832,9.23
sample01092,yes,PBMC,cd4_t_cell,33046,106832,30.93
sample01092,yes,PBMC,cd8_t_cell,25255,106832,23.64
sample01092,yes,PBMC,monocyte,21237,106832,19.88
sample01092,yes,PBMC,nk_cell,17431,106832,16.32
sample01093,yes,PBMC,b_cell,14502,112595,12.88
sample01093,yes,PBMC,cd4_t_cell,31219,112595,27.73
sample01093,yes,PBMC,cd8_t_cell,31335,112595,27.83
sample01093,yes,PBMC,monocyte,22231,112595,19.74
sample01093,yes,PBMC,nk_cell,13308,112595,11.82
sample01094,yes,PBMC,b_cell,5718,111273,5.14
sample01094,yes,PBMC,cd4_t_cell,37291,111273,33.51
sample01094,yes,PBMC,cd8_t_cell,30517,111273,27.43
sample01094,yes,PBMC,monocyte,18899,111273,16.98
sample01094,yes,PBMC,nk_cell,18848,111273,16.94
sample01104,yes,PBMC,b_cell,4582,101076,4.53
sample01104,yes,PBMC,cd4_t_cell,47434,101076,46.93
sample01104,yes,PBMC,cd8_t_cell,22431,101076,22.19
sample01104,yes,PBMC,monocyte,17793,101076,17.6
sample01104,yes,PBMC,nk_cell,8836,101076,8.74
sample01105,yes,PBMC,b_cell,15233,109818,13.87
sample01105,yes,PBMC,cd4_t_cell,24252,109818,22.08
sample01105,yes,PBMC,cd8_t_cell,21189,109818,19.29
sample01105,yes,PBMC,monocyte,26271,109818,23.92
sample01105,yes,PBMC,nk_cell,22873,109818,20.83
sample01106,yes,PBMC,b_cell,8173,95116,8.59
sample01106,yes,PBMC,cd4_t_cell,20869,95116,21.94
sample01106,yes,PBMC,cd8_t_cell,30539,95116,32.11
sample01106,yes,PBMC,monocyte,19541,95116,20.54
sample01106,yes,PBMC,nk_cell,15994,95116,16.82
sample01110,no,PBMC,b_cell,6080,103592,5.87
sample01110,no,PBMC,cd4_t_cell,31985,103592,30.88
sample01110,no,PBMC,cd8_t_cell,22297,103592,21.52
sample01110,no,PBMC,monocyte,28491,103592,27.5
sample01110,no,PBMC,nk_cell,14739,103592,14.23
sample01111,no,PBMC,b_cell,12246,96363,12.71
sample01111,no,PBMC,cd4_t_cell,24516,96363,25.44
sample01111,no,PBMC,cd8_t_cell,29178,96363,30.28
sample01111,no,PBMC,monocyte,14546,96363,15.1
sample01111,no,PBMC,nk_cell,15877,96363,16.48
sample01112,no,PBMC,b_cell,16923,92176,18.36
sample01112,no,PBMC,cd4_t_cell,21829,92176,23.68
sample01112,no,PBMC,cd8_t_cell,25901,92176,28.1
sample01112,no,PBMC,monocyte,17299,92176,18.77
sample01112,no,PBMC,nk_cell,10224,92176,11.09
sample01128,yes,PBMC,b_cell,20055,95345,21.03
sample01128,yes,PBMC,cd4_t_cell,18249,95345,19.14
sample01128,yes,PBMC,cd8_t_cell,27923,95345,29.29
sample01128,yes,PBMC,monocyte,15523,95345,16.28
sample01128,yes,PBMC,nk_cell,13595,95345,14.26
sample01129,yes,PBMC,b_cell,6602,92988,7.1
sample01129,yes,PBMC,cd4_t_cell,31032,92988,33.37
sample01129,yes,PBMC,cd8_t_cell,22584,92988,24.29
sample01129,yes,PBMC,monocyte,18097,92988,19.46
sample01129,yes,PBMC,nk_cell,14673,92988,15.78
sample01130,yes,PBMC,b_cell,13387,106266,12.6
sample01130,yes,PBMC,cd4_t_cell,28200,106266,26.54
sample01130,yes,PBMC,cd8_t_cell,35667,106266,33.56
sample01130,yes,PBMC,monocyte,18469,106266,17.38
sample01130,yes,PBMC,nk_cell,10543,106266,9.92
sample01134,no,PBMC,b_cell,6162,95780,6.43
sample01134,no,PBMC,cd4_t_cell,31722,95780,33.12
sample01134,no,PBMC,cd8_t_cell,26748,95780,27.93
sample01134,no,PBMC,monocyte,19911,95780,20.79
sample01134,no,PBMC,nk_cell,11237,95780,11.73
sample01135,no,PBMC,b_cell,17811,103817,17.16
sample01135,no,PBMC,cd4_t_cell,27055,103817,26.06
sample01135,no,PBMC,cd8_t_cell,20037,103817,19.3
sample01135,no,PBMC,monocyte,20632,103817,19.87
sample01135,no,PBMC,nk_cell,18282,103817,17.61
sample01136,no,PBMC,b_cell,8595,101744,8.45
sample01136,no,PBMC,cd4_t_cell,32788,101744,32.23
sample01136,no,PBMC,cd8_t_cell,25087,101744,24.66
sample01136,no,PBMC,monocyte,25484,101744,25.05
sample01136,no,PBMC,nk_cell,9790,101744,9.62
sample01137,no,PBMC,b_cell,7546,88196,8.56
sample01137,no,PBMC,cd4_t_cell,34850,88196,39.51
sample01137,no,PBMC,cd8_t_cell,17076,88196,19.36
sample01137,no,PBMC,monocyte,15917,88196,18.05
sample01137,no,PBMC,nk_cell,12807,88196,14.52
sample01138,no,PBMC,b_cell,8384,90280,9.29
sample01138,no,PBMC,cd4_t_cell,24005,90280,26.59
sample01138,no,PBMC,cd8_t_cell,27577,90280,30.55
sample01138,no,PBMC,monocyte,18085,90280,20.03
sample01138,no,PBMC,nk_cell,12229,90280,13.55
sample01139,no,PBMC,b_cell,4818,106313,4.53
